Timestamp,Email Address,Name,Email,Student ID,Expected Graduation Year,"Race/Ethnicity (feel free to put ""I prefer not to respond"")",Major,Minor,Phone Number,Which instrument(s) would you like to teach?,Years of experience with instrument(s),Grade levels you prefer to work with:,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Are you interested in In-Class Tutoring?,Are you interested in Private Tutoring?,I have read and agree to the member commitment policy.,I have read and agree to the attendance policy.,Are you a returning or new tutor?,"If you are a returning tutor, would you like to continue with your previous student/school? Please indicate the name of your previous placement if so. If you are a new tutor, please write N/A."
1/22/2020 22:01:05,fames@Integereulacus.ca,Adele Moss,fames@Integereulacus.ca,1672080727099,2020,,Chemical Biology and Computer Science,,708-770-9270,"Clarinet, Piano",Piano: 16; Clarinet: 11,"K-3, 3-5, 5-8, 9-12","3pm- 5pm, After 5pm",3pm- 5pm,"3pm- 5pm, After 5pm","3pm- 5pm, After 5pm",3pm- 5pm,"3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",Yes,Yes,Yes,Yes,Returning,
1/29/2020 16:01:53,Fusce.fermentum.fermentum@malesuadaInteger.net,Brock Riddle,Fusce.fermentum.fermentum@malesuadaInteger.net,1649110480699,2021,,MCB (Cell and Development Biology),Developing Child Minor,798-128-8913,Cello,14 years,"3-5, 5-8","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm, After 5pm",3pm- 5pm,3pm- 5pm,"3pm- 5pm, After 5pm","3pm- 5pm, After 5pm",Yes,Yes,Yes,Yes,Returning,
1/31/2020 16:25:34,dictum.eu.placerat@erosnon.edu,Colt Potter,dictum.eu.placerat@erosnon.edu,1625092132399,2023,,Integrative Biology,Bioengineering and Music,407-309-9032,Piano,14,"5-8, 9-12","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm, After 5pm","3pm- 5pm, After 5pm",3pm- 5pm,"Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",Yes,Yes,Yes,Yes,Returning,
1/31/2020 16:33:10,Morbi@ornarelectusante.edu,Jaime Meyer,Morbi@ornarelectusante.edu,1600091501099,2021,,MCB:Neuro,,231-100-5615,Piano,13,K-3,"3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm, After 5pm",,3pm- 5pm,"3pm- 5pm, After 5pm","3pm- 5pm, After 5pm",No,Yes,Yes,Yes,Returning,
1/31/2020 16:53:45,facilisis.facilisis.magna@orci.co.uk,Kerry Sharp,facilisis.facilisis.magna@orci.co.uk,1606070633399,2021,,"MCB, Music",,139-639-6714,Piano,14,"K-3, 3-5",After 5pm,After 5pm,"3pm- 5pm, After 5pm",After 5pm,After 5pm,"3pm- 5pm, After 5pm","3pm- 5pm, After 5pm",No,Yes,Yes,Yes,Returning,
1/31/2020 16:55:02,ultrices@dictumauguemalesuada.com,Rosalyn Long,ultrices@dictumauguemalesuada.com,1633121090099,2023,,Psychology,,895-341-3257,Clarinet,9,"5-8, 9-12","3pm- 5pm, After 5pm",,"3pm- 5pm, After 5pm","3pm- 5pm, After 5pm",After 5pm,,,No,Yes,Yes,Yes,Returning,
1/31/2020 17:15:20,ut.eros@Donecfelisorci.org,Alexis Shaw,ut.eros@Donecfelisorci.org,1629080614399,2020,,Molecular and Cell Biology,Music,135-663-0684,Piano,16,"K-3, 3-5",After 5pm,After 5pm,,After 5pm,After 5pm,"Before 11am, After 5pm","Before 11am, After 5pm",No,Yes,Yes,Yes,Returning,
1/31/2020 18:52:28,fames@Integereulacus.ca,Person 1,fames@Integereulacus.ca,1.60E+12,2023,,Computer Science,,,Saxophone,8,"3-5, 5-8",,After 5pm,,,,"1pm- 3pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",Yes,Yes,Yes,Yes,Returning,
1/31/2020 19:44:56,Fusce.fermentum.fermentum@malesuadaInteger.net,Person 2,Fusce.fermentum.fermentum@malesuadaInteger.net,1.60E+12,2023,,Integrative Biology,,,"Violin, Viola, Cello, Bass, Percussion, Guitar","Cello -9, Other strings- 4, Percussion-4, Guitar-6","K-3, 3-5, 5-8, 9-12",After 5pm,After 5pm,After 5pm,After 5pm,3pm- 5pm,,After 5pm,Yes,Yes,Yes,Yes,Returning,
1/31/2020 19:53:36,dictum.eu.placerat@erosnon.edu,Person 3,dictum.eu.placerat@erosnon.edu,1.59E+12,2020,,Economics,,,Piano,17,"5-8, 9-12","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",No,Yes,Yes,Yes,Returning,
1/31/2020 22:09:13,Morbi@ornarelectusante.edu,Person 4,Morbi@ornarelectusante.edu,1.59E+12,2023,,MCB,,,Piano,16,K-3,,3pm- 5pm,,,,3pm- 5pm,"11am-1pm, 1pm- 3pm, 3pm- 5pm",No,Yes,Yes,Yes,Returning,
2/1/2020 8:59:44,facilisis.facilisis.magna@orci.co.uk,Person 5,facilisis.facilisis.magna@orci.co.uk,1.58E+12,2020,,MCB,Music,,Clarinet,10+ years with clarinet,"3-5, 5-8",,,"3pm- 5pm, After 5pm",,"3pm- 5pm, After 5pm","Before 11am, 3pm- 5pm","Before 11am, 11am-1pm",Yes,No,Yes,Yes,Returning,
2/1/2020 17:12:33,ultrices@dictumauguemalesuada.com,Person 6,ultrices@dictumauguemalesuada.com,1.57E+12,2020,,Economics,"Music, Public Policy",,Piano,16,"K-3, 3-5",,,,,3pm- 5pm,"Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",No,Yes,Yes,Yes,Returning,
2/2/2020 8:04:05,ut.eros@Donecfelisorci.org,Person 7,ut.eros@Donecfelisorci.org,1.57E+12,2020,,Molecular Environmental Biology,,,Piano,15,K-3,,,,,,,Before 11am,No,Yes,Yes,Yes,Returning,
2/2/2020 9:38:48,fames@Integereulacus.ca,Person 8,fames@Integereulacus.ca,1.56E+12,2023,,MCB and Dance,,,Piano,16,"K-3, 3-5, 5-8, 9-12","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm",,,"3pm- 5pm, After 5pm",,,No,Yes,Yes,Yes,Returning,
2/2/2020 11:16:48,Fusce.fermentum.fermentum@malesuadaInteger.net,Person 9,Fusce.fermentum.fermentum@malesuadaInteger.net,1.55E+12,2021,,MCB,Music,,Piano,~15,"K-3, 3-5",,,,,,,Before 11am,No,Yes,Yes,Yes,Returning,
2/2/2020 13:24:38,dictum.eu.placerat@erosnon.edu,Person 10,dictum.eu.placerat@erosnon.edu,1.55E+12,2023,,Environmental Engineering Science,"Hispanic Languages, Linguistics, and BIlingualism",,Piano,12,5-8,"1pm- 3pm, 3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",No,Yes,Yes,Yes,Returning,
2/2/2020 22:54:11,Morbi@ornarelectusante.edu,Person 11,Morbi@ornarelectusante.edu,1.54E+12,2023,,undeclared,,,Cello,10,3-5,"3pm- 5pm, After 5pm",,"3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",No,Yes,Yes,Yes,Returning,
2/3/2020 0:39:05,facilisis.facilisis.magna@orci.co.uk,Person 12,facilisis.facilisis.magna@orci.co.uk,1.53E+12,2023,,Biology and Music,,,"Violin, Piano, Guitar, Bass Guitar",Violin and Piano: 12; Guitar 5; Bass Guitar: 4,"5-8, 9-12","3pm- 5pm, After 5pm",,,"3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",No,Yes,Yes,Yes,Returning,
2/3/2020 10:49:04,ultrices@dictumauguemalesuada.com,Person 13,ultrices@dictumauguemalesuada.com,1.53E+12,2023,,(Intended) Molecular Cell Biology,Data Science or Public Policy,,Piano,14,"K-3, 3-5, 5-8, 9-12","3pm- 5pm, After 5pm",,"3pm- 5pm, After 5pm",,"3pm- 5pm, After 5pm",Before 11am,Before 11am,Yes,Yes,Yes,Yes,Returning,
2/3/2020 12:33:54,ut.eros@Donecfelisorci.org,Person 14,ut.eros@Donecfelisorci.org,1.52E+12,2021,,MCB,NA,,Piano,10+,"K-3, 3-5",After 5pm,,After 5pm,After 5pm,After 5pm,,,No,Yes,Yes,Yes,Returning,
2/3/2020 13:44:08,fames@Integereulacus.ca,Person 15,fames@Integereulacus.ca,1.51E+12,2023,,MCB,,,Piano,8,"K-3, 3-5, 5-8",3pm- 5pm,,3pm- 5pm,3pm- 5pm,,,,No,Yes,Yes,Yes,Returning,
2/3/2020 22:04:39,Fusce.fermentum.fermentum@malesuadaInteger.net,Person 16,Fusce.fermentum.fermentum@malesuadaInteger.net,1.51E+12,2021,,Chemical Engineering,City Planning,,Guitar,5,"K-3, 3-5",After 5pm,After 5pm,After 5pm,After 5pm,After 5pm,Before 11am,Before 11am,No,Yes,Yes,Yes,Returning,
2/4/2020 13:24:09,dictum.eu.placerat@erosnon.edu,Person 17,dictum.eu.placerat@erosnon.edu,1.50E+12,2021,,MCB,,,Violin,15,"K-3, 3-5","1pm- 3pm, 3pm- 5pm",,3pm- 5pm,"1pm- 3pm, 3pm- 5pm",,,,No,Yes,Yes,Yes,Returning,
