Timestamp,Email Address,Confirm Email,"Student Name - Last, First","Parent / Guardian Name(s) - Last, First",Phone Number - (111) 111 - 1111,School,Grade Level,Instrument (First Choice),Level / Experience,Instrument (Second Choice),Level / Experience,Instrument (Third Choice),Level / Experience,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,"Does your child have their own instrument at home? (i.e., piano, saxophone, flute, violin etc.)",Tutoring Location,Keyboard Lending Program,End of the Semester Recital,Previous application with TMC,Tutor Matching,Have any of the student's guardians attended a four-year college?,Does the student qualify for the free or reduced lunch program?
4/13/2020 11:08:45,ffs@gmail.com,ffs@gmail.com,"Roberts, George","Lewinsky, Monica",(444) 432-4421,Berkeley High School,3-5,Percussion,2,Flute,2,,,"11am-1pm, 3pm- 5pm",,"1pm- 3pm, 3pm- 5pm, After 5pm",,,"Before 11am, 1pm- 3pm","3pm- 5pm, After 5pm",No,,No,Yes,"No, this is my student's first time applying for lessons with TMC",,Yes,No
4/13/2020 11:10:15,jstalin@gmail.com,jstalin@gmail.com,"Stalin, Joseph","Lenin, Vladimir",(650) 679-4564,Berkeley High School,9-12,Flute,0,Clarinet,0,Piano,0,"3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm, After 5pm",Yes,,No,Yes,"Yes, my student has applied for lessons with TMC before but was not placed for lessons",,No,Yes
4/13/2020 11:11:33,gg@gmail.com,gg@gmail.com,"Glover, Donald","Gambino, Childish",(954) 679-7756,Berkeley High SChool,6-8,Bass,3,Trumpet,0,Piano,1,"11am-1pm, 1pm- 3pm",,"Before 11am, After 5pm","11am-1pm, After 5pm",11am-1pm,"11am-1pm, 1pm- 3pm, 3pm- 5pm","Before 11am, 11am-1pm, After 5pm",No,,No,Yes,"Yes, my student has previously applied and received lessons with TMC",,Yes,Yes
4/13/2020 11:13:28,yhs@gmail.com,yhs@gmail.com,"Lopez, Jennifer","Cruise, Thomas",(678)321-4352,Berkeley High School,K-2,French horn,0,Piano,0,Voice,0,After 5pm,After 5pm,"3pm- 5pm, After 5pm",After 5pm,"3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm","Before 11am, 11am-1pm, 1pm- 3pm",No,,No,Yes,"Yes, my student has applied for lessons with TMC before but was not placed for lessons",,No,No
4/13/2020 11:14:53,tyg@gmail.com,tyg@gmail.com,"Kardashian, Khloe","Kardashian, Robert",(678) 554-6734,Berkeley High School,6-8,Piano,2,,,,,"3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm",Yes,,No,No,"No, this is my student's first time applying for lessons with TMC",,No,Yes
4/13/2020 11:16:37,tt@gmail.com,tt@gmail.com,"Fiasco, Lupe","3000, Andre",(568) 554-0345,Berkeley High School,6-8,Piano,2,,,,,"3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm","1pm- 3pm, 3pm- 5pm",No,,No,Yes,"No, this is my student's first time applying for lessons with TMC",,Yes,No
4/13/2020 11:28:17,lm@gmail.com,lm@gmail.com,"Mosey, Lil","Black, Kodak",(432)776-9097,Berkeley High,6-8,Piano,2,,,,,After 5pm,After 5pm,,After 5pm,,,"1pm- 3pm, 3pm- 5pm",,,No,No,"Yes, my student has previously applied and received lessons with TMC",,No,Yes
4/13/2020 13:47:04,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Clancy, Tom","Clancy, Jacob",6696009181,Cupertino High,9-12,Violin,4,,,,,"11am-1pm, 1pm- 3pm","11am-1pm, 3pm- 5pm","11am-1pm, After 5pm","3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm",Yes,,Yes,Yes,"No, this is my student's first time applying for lessons with TMC",,Yes,No
4/13/2020 13:48:06,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Baqai, Ali","Baqai, Shahab",6696009181,Hyde Middle School,6-8,Guitar,1,,,,,"11am-1pm, 1pm- 3pm, 3pm- 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm","Before 11am, 1pm- 3pm, After 5pm","Before 11am, 3pm- 5pm, After 5pm","Before 11am, 1pm- 3pm, After 5pm","Before 11am, 1pm- 3pm, 3pm- 5pm","11am-1pm, 3pm- 5pm, After 5pm",Yes,,Yes,Yes,"No, this is my student's first time applying for lessons with TMC",,Yes,No
4/13/2020 13:49:18,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Brown, Stacy","Brown, Jacob",6696009181,Monta Vista High ,9-12,Violin,2,,,,,"Before 11am, 1pm- 3pm, 3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","Before 11am, 1pm- 3pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm","Before 11am, 11am-1pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",Yes,,Yes,Yes,"Yes, my student has applied for lessons with TMC before but was not placed for lessons",,Yes,No
